id_lokasi,dmgratio_cr_mmi500,dmgratio_mcf_mmi500,dmgratio_mur_mmi500,dmgratio_lightwood_mmi500,dmgratio_cr_mmi250,dmgratio_mcf_mmi250,dmgratio_mur_mmi250,dmgratio_lightwood_mmi250,dmgratio_cr_mmi100,dmgratio_mcf_mmi100,dmgratio_mur_mmi100,dmgratio_lightwood_mmi100
597.0,1.0,1.0,0.9451417338953498,1.0,0.9973387167030259,1.0,0.9902798284067068,1.0,0.9791849701984846,0.9919145450887796,0.968491286800911,1.0
598.0,1.0,1.0,0.9451423887828906,1.0,0.9958794427739079,1.0,0.9893955330136783,1.0,0.9724870178726138,0.9874848087879047,0.9617111766483797,1.0
599.0,1.0,1.0,0.9453782430841748,1.0,0.9913415851716442,1.0,0.9849963531438267,1.0,0.9609396180152388,0.9826364253597885,0.9510583185042262,0.9992820432841809
600.0,1.0,1.0,0.9454263886675013,1.0,0.9977954840266282,1.0,0.9905155798012348,1.0,0.9798592834777695,0.992567986521743,0.9692087934809652,1.0
601.0,1.0,1.0,0.9460685705184828,1.0,0.9924229900272924,1.0,0.9863132820465118,1.0,0.9610436048288343,0.9826774947307565,0.9511535208107802,0.9993461073478741
602.0,1.0,1.0,0.9461961575993821,1.0,1.0,1.0,0.9922157988098784,1.0,0.9849953097220493,1.0,0.9752085433763773,1.0
603.0,1.0,1.0,0.9463293276435866,1.0,0.9986137312929972,1.0,0.9908938615650067,1.0,0.9793946078336596,0.9921111182283368,0.9687136949696831,1.0
604.0,1.0,1.0,0.9464088790041006,1.0,1.0,1.0,0.9914955564987745,1.0,0.9829004575440645,0.9965726044246215,0.9725836893198405,1.0
605.0,1.0,1.0,0.9464348824316828,1.0,0.9906486468429377,1.0,0.9840531111917252,1.0,0.9429208757138964,0.974535094354173,0.9345523075571653,0.9924845533886933
606.0,1.0,1.0,0.946625423949268,1.0,0.992360428089304,1.0,0.9862421506312369,1.0,0.9592599733094475,0.9819699789722091,0.9495195390334797,0.9983012181158564
607.0,1.0,1.0,0.9468232928027233,1.0,0.9966201559785417,1.0,0.9898705020958424,1.0,0.9782580830700793,0.9911076421737016,0.9675142384840324,1.0
608.0,1.0,1.0,0.9468710649684717,1.0,1.0,1.0,0.9915322457814839,1.0,0.9825746429791374,0.9960331507694805,0.9722048263854163,1.0
609.0,1.0,1.0,0.9470123042873513,1.0,0.9932000696632647,1.0,0.9871472335136702,1.0,0.9695705872456098,0.9861283308342667,0.9589575525595603,1.0
610.0,1.0,1.0,0.9473077597973056,1.0,0.9952393934533247,1.0,0.9889380409075398,1.0,0.9708383389140413,0.986695624223351,0.9601417129194889,1.0
611.0,1.0,1.0,0.947314164299492,1.0,0.993494242786961,1.0,0.9874397895232386,1.0,0.9660937137415465,0.9846778148652439,0.9557651360189747,1.0
612.0,1.0,1.0,0.9473193521546347,1.0,0.9946440928511963,1.0,0.9884701990069853,1.0,0.9680285618497151,0.9854704862464505,0.9575349847055461,1.0
613.0,1.0,1.0,0.947763726312456,1.0,0.9934083439814686,1.0,0.9873556357544426,1.0,0.9642810672491546,0.983954394302879,0.9541121880579536,1.0
614.0,1.0,1.0,0.947785261603257,1.0,0.9999145955015415,1.0,0.9913893702263185,1.0,0.9828333427871438,0.9964587293727426,0.9725051566396296,1.0
615.0,1.0,1.0,0.9479665753838523,1.0,0.9908855594175713,1.0,0.984384349055743,1.0,0.9476712104565289,0.9769527817148207,0.9388920856926667,0.993632460624325
616.0,1.0,1.0,0.9479735684482501,1.0,0.9905213052320372,1.0,0.9838713623805795,1.0,0.9442159609688971,0.9752218571277697,0.9357336109007395,0.9927628498581788
617.0,1.0,1.0,0.9481730752510293,1.0,0.9932558425071195,1.0,0.9872036506183312,1.0,0.9630390869838983,0.9834639438600756,0.9529785417979942,1.0
618.0,1.0,1.0,0.9483019860579064,1.0,0.9971587638742898,1.0,0.9901818403792444,1.0,0.9769998745139312,0.9901463527769757,0.9662065354059602,1.0
619.0,1.0,1.0,0.9484829834259669,1.0,1.0,1.0,0.991787406192932,1.0,0.9842757205337052,0.9992652108884567,0.9742625477263162,1.0
620.0,1.0,1.0,0.9485776655237083,1.0,0.9910203100956313,1.0,0.9845687084879575,1.0,0.9524179663967162,0.9791276432219732,0.9432425131881017,0.9951726814469436
621.0,1.0,1.0,0.9487244389792738,1.0,1.0,1.0,0.9921684910326187,1.0,0.9850280863481758,1.0,0.9752529827063203,1.0
622.0,1.0,1.0,0.9488853683425762,1.0,0.9897338817497174,1.0,0.9826923955292579,1.0,0.9309730760317508,0.9669145778243675,0.9236015423355454,0.9909284578007683
